SNO,Indent No,Mat Code,Heat No,Wagon No,Bundle No
58,230672,4.71E+14,23E00906,NER55040260488  ,47B0000442957
59,230672,4.71E+14,23E00906,NER55040260488  ,47B0000442953
60,230672,4.71E+14,23E00906,NER55040260488  ,47B0000442958
61,230672,4.71E+14,23E00906,NER55040260488  ,47B0000442955
62,230672,4.71E+14,23E00906,NER55040260488  ,47B0000442949
63,230672,4.71E+14,23E00906,NER55040260488  ,47B0000442951
64,230672,4.71E+14,23E00906,NER55040260488  ,47B0000442964
65,230672,4.71E+14,23E00906,NER55040260488  ,47B0000442960
66,230672,4.71E+14,23E00906,NER55040260488  ,47B0000442962
67,230672,1.51E+14,2303247,SER94072310471  ,15M2000230024
68,230672,1.51E+14,2303247,SER94072310471  ,15M2000230025
69,230672,1.51E+14,2303264,SER94072310471  ,15M1000260960
70,230672,1.51E+14,2303264,SER94072310471  ,15M1000260959
71,230672,1.51E+14,2303247,SER94072310471  ,15M2000230026
72,230672,1.51E+14,2303258,SER94072310471  ,15M2000229949
73,230672,1.51E+14,2303258,SER94072310471  ,15M2000229951
74,230672,1.51E+14,2303264,SER94072310471  ,15M1000260956
75,230672,1.51E+14,2303258,SER94072310471  ,15M2000229950
76,230672,1.51E+14,2303282,SER94072310471  ,15M2000229956
77,230672,1.51E+14,2303299,SCR94091710115  ,15M1000261247
78,230672,1.51E+14,2303299,SCR94091710115  ,15M1000261248
79,230672,1.51E+14,2303299,SCR94091710115  ,15M1000261249
